id;name;leader;address;is_active;position;note
1;Intelligent open-source Kentucky;orchid Bosnia CSS;bandwidth Bacon;false;73769;Borders functionalities Summit
2;Rue Open-source violet;granular paradigms;Utah Sleek bypassing;true;39524;grey synthesizing Account
3;Berkshire virtual Falls;hack Parkway green;programming;true;92494;architect Fantastic cross-platform
4;Chicken Rustic;bandwidth Forward blue;Pizza;false;63812;parse payment indigo
5;deposit Nebraska;markets;feed;true;23219;Multi-channelled Lanka Incredible
6;recontextualize;Applications Wooden Factors;Rustic driver;true;98280;Salad Granite Florida
7;transparent Gloves Assistant;enterprise ivory;olive Supervisor;true;22675;Reverse-engineered
8;withdrawal to Product;Generic National;Functionality back-end seize;true;99130;matrix gold
9;Configuration;pink Soft contextually-based;withdrawal online Steel;true;50638;synthesizing port synergistic
10;Account;Granite;XSS Regional Quality-focused;false;25586;mindshare deposit
