id;name;code;order_by;note;is_active
1;hack Liaison vertical;Kentucky;9539;calculating Focused Bedfordshire;false
2;Principal real-time back;Home infrastructures Wooden;25384;multimedia;false
3;orchid Factors;New;17907;methodical Philippines hacking;false
4;Maryland;Chair orchid Sports;76857;Pants Borders;false
5;enterprise Architect invoice;Mouse deposit;96999;Right-sized open-source;true
6;tan Maine USB;niches Fresh;29098;Brand;true
7;harness;Fantastic;82496;primary Directives Paradigm;true
8;COM;blue payment panel;43246;Customer copy;true
9;Buckinghamshire;architectures morph Multi-lateral;65817;users;false
10;Fresh;Tasty state indigo;4212;vertical Internal one-to-one;true
