id;name;order_by;icon;note;is_active
1;program;32536;circuit Coves;users ADP;true
2;Crossroad;44494;Fresh Frozen;enterprise rich;true
3;red Concrete;55981;Optimization;Unbranded Creek invoice;true
4;Tools;72589;transmitting convergence;Beauty Accountability;false
5;Concrete overriding;23000;Ball Directives Frozen;tangible;false
6;Alabama Bike;50682;withdrawal;overriding;true
7;Producer bypassing Cayman;48897;calculating;programming;true
8;virtual Wooden Concrete;87223;channels Function-based brand;Designer driver;false
9;back-end Hawaii;47143;National;Buckinghamshire sky green;true
10;Pizza;93808;Uganda Steel HDD;Island IB;false
