id;name;code;order_by;note;is_active
1;Intelligent Stand-alone Corporate;envisioneer back primary;1776;microchip Liaison Hawaii;false
2;Rubber;Account explicit;47615;Soft CSS Virginia;false
3;visionary Incredible Loan;Communications;34446;Beauty generate turquoise;true
4;sensor mindshare;Optimization Avon;47160;payment;true
5;Georgia Palladium action-items;Future-proofed Berkshire;826;Tenge Trace;false
6;Enterprise-wide lime Market;Buckinghamshire Lead Cheese;5110;Loan;true
7;Group Rufiyaa;well-modulated;61946;Park Product Future;false
8;Rustic Generic;Fresh Plastic;41804;Granite;false
9;Cotton Awesome standardization;withdrawal didactic;77979;override;true
10;Chief 24/7;Rustic Tenge;13303;next PCI exploit;true
